"","created_at","text"
"1","2019-07-02 15:41:16","Happy Independence Day! We'll be closed on July 4 to enjoy some fireworks and fun, but we'll have normal hours the rest of the week! https://t.co/gDYMxy46En"
"2","2019-07-02 15:41:14","Happy Birthday celebration for my mother inlaw, Nancy Panico, from 3 years ago.  We just celebrated her 93rd birthday last week. Happy Birthday mom and many more! https://t.co/NZZjP4A0N0"
"3","2019-07-02 15:41:09","I Salute My Home  The United States of America. May God Bless and Protect You For Evermore. We Are Great! Right? Mr. President!  Â´Happy 4th Of  July To You! https://t.co/gY2TZtMWwt"
"4","2019-07-02 15:41:04","Happy birthday to @MichelleBranch whoâ€™ve Iâ€™ve had the pleasure of speaking with three times at her shows. Awesome talent and canâ€™t wait for some new music! https://t.co/3h1zN67ayK"
"5","2019-07-02 15:41:01","TOMATO REPORT: Vernissage is pretty but mealy and doesnâ€™t like our various pests much. Creole is producing big tomatoes but the plants donâ€™t seem all that happy and Iâ€™m having to pull some of them green and ripen on the counter. Blue Berries is trucking along like a boss."
"6","2019-07-02 15:40:43","Crazy thing I did this week: promoted my work w/o apologizing for it. It made me a little squirmy, then less so, then a little stronger, happier and fuller after that. I recommend it highly &amp; will support you to do the same. Be seen. Get loved. Give to others. Share happy things."
"7","2019-07-02 15:40:35","Weâ€™re excited to be vending at @thefrankfortcon in Frankfort, KY at the Capital Plaza hotel on July 13 from 10a - 6p. Weâ€™ll be offering some great deals that you can only take advantage of at the show. We look forward to seeing you there. Happy Haunting,â€¦ https://t.co/oKBf0Rh1nk https://t.co/HkXbi3t6A1"
"8","2019-07-02 15:40:30","Heading home! I had a great week off the computer and feel ready to take on the streaming world with fun positive happy streams â¤ï¸"
"9","2019-07-02 15:40:27","@McNuge4lyfe @snowflake33470 @johniadarola @BernieSanders I am still thinking that Bernie's got this. He has consistently polled higher than Harris and Warren and is generally more well known than anyone except Biden. I would be pretty happy with Warren and I would be marginally happy with Harris."
"10","2019-07-02 15:40:24","@WendyAn622 I love to watch him playful Thor ...he sure is a happy Thor. Thanks for posting and happy birthday Canada.ğŸ˜Šâ¤ğŸ’•ğŸ•â¤ğŸ•â¤ğŸ•ğŸ˜Š"
"11","2019-07-02 15:40:18","@KlMTAENGlE I'm glad it works : D I love you too, unnie! Be happy ğŸ˜˜ğŸ¥°ğŸ’•"
"12","2019-07-02 15:40:14","@alexmorgan13 Make this the best birthday present to yourself. Good Luck. Happy Birthday"
"13","2019-07-02 15:40:05","Happy Tuesday! Life is meant to be shared and we want to hear your stories. Tell us what makes you smile. Maybe something youâ€™re excited about or looking forward too. Did you #dogood or see some one around you do good? Tell us the story! #CrazyFaceUno"
"14","2019-07-02 15:40:05","""I feel very happy because every day brings you nearer. I love you deeply &amp; tenderly. I want you to have a happy life [and] I'm selfish enough to want it to be near me, but then we wouldn't either of us be happy otherwise, would we?"" #EleanorRoosevelt to Lorena Hickok (Dec 1933)"
"15","2019-07-02 15:40:03","@SwaggXBL Im kind of on the fence for the nuke at the moment.   Like. A mw2 style nuke again would be awesome!! But on the other hand a mw3 style Moab would be nice as well so doubles and triples can be a challenge once again    Iâ€™ll be happy with either honestly but I couldnâ€™t pick oneğŸ¤”"
"16","2019-07-02 15:40:01","Happy 2nd of July?!  It's not the right day to celebrate independence day but congress had voted to declare independence two days earlier, on July 2, but it was not declared until July 4. 4th of July sounds better anyway!! How are you celebrating?"
"17","2019-07-02 15:39:58","@YoShowtime happy birthday lovely! i hope your day is peaceful &amp; fun ğŸ’“"
"18","2019-07-02 15:39:53","@kelslewin @GameHistoryOrg Happy Birthday Kelsey! Love your content! Wishing you the best and continued success!"
"19","2019-07-02 15:39:53","Happy birthday Sylvia Rivera. We would not have pride celebrations if not for your courageous and radical commitment to equity. #Pride #LetsGetFree #TeachTheBabies history #TransLivesMatter #Periodt https://t.co/2jEhIFh2Fa"
"20","2019-07-02 15:39:41","HAPPY BIRTHDAY MOM !!!!

EVERYBODY HELP ME SAY HBD TO MY INCREDIBLE MOMMY AND A INCREDIBLE PERSON !

I LOVE YOU MOM ENJOY YOUR DAY!!!!
Roz Lyn Odasia Blackwell Susan Blackwell Angelina Blackwell"
"21","2019-07-02 15:39:38","â€œThe #best way to predict your #future is to create it.â€ ğŸ‡ºğŸ‡¸   
â€• Abraham Lincoln
::
::
:: #Happy 4th of #July #EveryOne 
::
:: #July4th #IndependenceDay #USA #Holiday #FireWorks #America #Hope #Freedom
::
::
:: we #love to #rent #audio #visual
::
:: #AVsuccess with #AVoutsource https://t.co/nHWLOpTXtl"
"22","2019-07-02 15:39:34","@TheAn1meMan No one does....it's not like a majority of them are taking that many liberties with the source(unless it's someone following Ghost Stories(which is better for it) or 4kids). Since things don't translate well, and other things, people should be happy someone's even trying"
"23","2019-07-02 15:39:30","The biggest happy birthday to my little baby boy. I love you, I love you, I love you. ğŸ‰ğŸ˜˜â¤ï¸â˜ºï¸ğŸˆ @Hotdoggobran https://t.co/CeZEvm7IZP"
"24","2019-07-02 15:39:29","@GeekSetGo @SeanSchemmel @8bitbribot @Rialisms @JFtheactor61 @MeJustSaiyan @Kayla89840133 @ISF_Puppyluv3r @Standin_Rock @DawnMBennettVA @TheVeronicaT @ragercoaster @VoiceOfVegeta Happy birthday @SeanSchemmel and @VoiceOfVegeta a.k.a. Vegeta and Goku having a good time Dragon Ball Z/Super fans including yours truly Goku and Vegeta getting the attention of Dragon Ball Z 30th Anniversary Happy birthday"
